"","GSM2550529_10SE2524.CEL.gz","GSM2550530_10SE2525.CEL.gz","GSM2550531_10SE2526.CEL.gz","GSM2550532_10SE2527.CEL.gz","GSM2550533_10SE2528.CEL.gz","GSM2550534_10SE2529.CEL.gz"
"Les.162.3.S1_at",7.54592768153674,7.82517384855631,7.61074222234519,7.98460196884757,7.74008738864084,8.0822066519634
"Les.1620.1.S1_at",9.95492576847801,9.22726748662826,9.55417491523143,9.31264935725946,9.22150952431059,9.26710164432909
"Les.1624.1.A1_at",8.63558411772609,8.56783103934986,8.7253497694657,8.55180846020484,8.68822115935923,8.83292342014705
"Les.1627.1.A1_at",3.96334597392406,3.89625246201871,3.81738868053259,3.55145393644799,3.74680253768052,3.93499982877099
"Les.163.1.S1_at",10.104351044361,10.1436002087046,10.1687324575644,9.79297115877562,9.89681174820827,9.96667005647669
"Les.1630.1.S1_at",9.03655285707106,9.17523768471752,9.05628521858274,8.89371679421735,9.09557464247545,8.96737345129326
"Les.1631.1.S1_at",9.42926273526717,9.30706023722439,9.26202566558377,9.51474361198737,9.52940855248028,9.52958693233044
"Les.1633.1.A1_at",5.79771338056109,5.8571377964136,5.70858267141352,5.72640481664754,5.65811472363756,5.67306863787591
"Les.1634.1.A1_at",7.55519106007222,7.41876829249026,7.33064014752309,7.47807495321617,7.69302070502087,7.7602127105654
"Les.1635.1.S1_at",10.3735552965969,10.205790901247,10.2584969579226,10.1600410165179,10.1054003775998,10.2758628392375
"Les.1635.2.A1_at",11.7690493171725,11.6632755447738,11.6449084426779,11.6823678840029,11.7028433990151,11.7678607949779
"Les.1636.1.A1_at",9.14650995798227,9.09613628063501,9.05386846271772,9.12111110698297,9.0838481277282,9.28147741902175
"Les.1638.1.S1_at",7.80298478698883,8.09258744546079,7.96712114446338,7.89842280425102,7.94266931554014,8.12095609462878
"Les.1638.2.A1_at",6.8258213844323,6.76450724531054,7.18629968340637,7.2630248630787,6.74278052455507,7.18665819106401
"Les.1640.1.A1_at",8.35844611961371,8.53389316390237,8.47915475509761,8.84927475839125,8.98929713762962,8.90904636692584
"Les.1643.1.A1_at",4.0430472170945,3.96939142647422,4.06614066125056,4.05646566716103,4.07093638601491,4.09261102023166
